,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type,Price,Market Cap,VolumeTwentyFour,Circulating Supply,Exchanges
51,Compound,0xc00e94cb662c3520282e6f5717214004a7f26888,https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888,Etherium,01/06/2021 16:55:08,10.00 million,167187 ( 0.141%),1352014,N/A,Common,422.05,2.19 billion,124.52 million,5.20 million,"Binance,OKEx,Coinbase Pro,Huobi Global,DigiFinex,FTX,SushiSwap,Bithumb Global,Uniswap v2,Kucoin,FLYBIT,BTCAlpha,MXC,Bitkub,Coinsbit,Folgory,Nominex.io,PancakeSwap,Atomars,ProBit"
52,Decred,,,,01/06/2021 16:55:10,21.00 million,,,N/A,Common,160.46,2.08 billion,41.19 million,12.98 million,"OKEx,Binance,Huobi Global,Bitvavo,Bittrex,Exmo,Gate.io,Kucoin,Poloniex,OceanEx"
53,TerraUSD,0xa47c8bf37f92aBed4A126BDA807A7b7498661acD,https://etherscan.io/token/0xa47c8bf37f92aBed4A126BDA807A7b7498661acD,Etherium,01/06/2021 16:55:22,1.95 billion,7183 ( 0.153%),169779,N/A,Common,1.00,1.96 billion,12.84 million,1.95 billion,"Kucoin,Uniswap v2,SushiSwap,Bittrex,Hotbit"
54,Synthetix Network,,,,01/06/2021 16:55:24,226.94 million,,,N/A,Common,12.45,1.94 billion,61.65 million,155.49 million,"Binance,Coinbase Pro,OKEx,Huobi Global,SushiSwap,DigiFinex,FTX,Upbit,Kucoin,Uniswap v2,OKCoin,Bitladon,Honeyswap,HitBTC,tokenize,Brexily,Dove Wallet"
55,Dash,,,,01/06/2021 16:55:26,10.16 million,,,N/A,Common,187.67,1.91 billion,324.72 million,10.16 million,"Binance,OKEx,Bitcoin.com,Huobi Global,DigiFinex,Coinbase Pro,Gate.io,Kraken,Kucoin,Bithumb Global,Hotbit,CoinField,Folgory,MXC,Tidex,EXRATES,CoinEx,Nominex.io,Atomars,XBTPro"
56,Hedera HashGraph,,,,01/06/2021 16:55:28,50.00 billion,,,N/A,Common,0.2214,1.90 billion,69.00 million,8.58 billion,"Binance,OKEx,Upbit,Huobi Global,Bittrex,Bitcoin.com,WazirX,Gate.io,Indodax,Liquid"
57,SKALE,,,,01/06/2021 16:55:29,4.28 billion,,,N/A,Common,0.4220,1.80 billion,80.08 million,4.28 billion,"Binance,Coinbase Pro,OKEx,Huobi Global,DigiFinex,FTX,Gemini,Uniswap v2,Gate.io,Crypto.com"
58,Zcash,,,,01/06/2021 16:55:31,11.89 million,,,N/A,Common,150.89,1.79 billion,345.49 million,11.89 million,"Binance,Bitcoin.com,OKEx,Huobi Global,DigiFinex,Gate.io,Coinbase Pro,Kucoin,Bitfinex,Kraken,BuyUcoin,TheRockTrading,Kuna,BitBay,BTC Trade UA,Bitladon,CREX24,Float SV,Dove Wallet,B4U"
59,Decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,https://etherscan.io/token/0x0f5d2fb29fb7d3cfee444a200298f468908cc942,Etherium,01/06/2021 16:55:43,2.19 billion,101591 ( 0.082%),1160391,N/A,Common,0.8114,1.78 billion,144.15 million,2.19 billion,"Upbit,OKEx,Binance,DigiFinex,Coinbase Pro,Huobi Global,Bithumb,Kraken,Crypto.com,Bitcoin.com,Bitrue,Bitladon,Dove Wallet,Lykke,Brexily"
60,Elrond,,,,01/06/2021 16:55:45,20.40 million,,,N/A,Common,100.07,1.74 billion,57.12 million,17.44 million,"Binance,OKEx,Crypto.com,Bithumb Global,Bitfinex,Gate.io,Indodax,WazirX,Liquid,Bilaxy"
